raw_text,category,emotion,priority
account locked,Authentication & Access,Neutral,Medium
"Please help, verification failed. Plz help.",Authentication & Access,Frustrated,Medium
"This is unacceptable. I noticed that signin blank screen. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Authentication & Access,Frustrated,High
"vid... signin blank screen, plz fix. This is affecting my studies.",Authentication & Access,Urgent,Critical
password reset broken,Authentication & Access,Confused,High
"After the latest update, SSO failing. Plz help.",Authentication & Access,Urgent,Medium
"Honestly, I noticed that account locked. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Authentication & Access,Urgent,Critical
"biling... can't log in, plz fix. ",Authentication & Access,Frustrated,High
login loop,Authentication & Access,Neutral,Critical
This is unacceptable. OTP never arrives. Kindly investigate.,Authentication & Access,Confused,Critical
"Hi team, I noticed that account locked. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. This is affecting my studies.",Authentication & Access,Confused,High
"vid... signin blank screen, plz fix. Need this fixed ASAP.",Authentication & Access,Confused,High
auth timeout,Authentication & Access,Neutral,Medium
"After the latest update, password reset broken. This is affecting my studies.",Authentication & Access,Confused,Critical
"Urgent: I noticed that login loop. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Authentication & Access,Neutral,Medium
"subscrption... SSO failing, plz fix. Waiting for a response.",Authentication & Access,Confused,Medium
signin blank screen,Authentication & Access,Confused,Medium
This is unacceptable. verification failed. Waiting for a response.,Authentication & Access,Angry,Critical
"Can someone explain why I noticed that OTP never arrives. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Really disappointed.",Authentication & Access,Neutral,High
"vid... signin blank screen, plz fix. This is affecting my studies.",Authentication & Access,Angry,Medium
login loop,Authentication & Access,Angry,Medium
This is unacceptable. verification failed. Kindly investigate.,Authentication & Access,Angry,Critical
"I'm confused because I noticed that SSO failing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Authentication & Access,Frustrated,Critical
"pasword... account locked, plz fix. ",Authentication & Access,Frustrated,High
auth timeout,Authentication & Access,Urgent,High
Urgent: login loop. ,Authentication & Access,Confused,High
"Can someone explain why I noticed that password reset broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. ",Authentication & Access,Frustrated,Medium
"idk... SSO failing, plz fix. Really disappointed.",Authentication & Access,Angry,Critical
auth timeout,Authentication & Access,Confused,Medium
I'm confused because auth timeout. Really disappointed.,Authentication & Access,Frustrated,Critical
"I'm confused because I noticed that SSO failing. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Authentication & Access,Urgent,Critical
"idk... credentials denied, plz fix. Kindly investigate.",Authentication & Access,Urgent,Critical
auth timeout,Authentication & Access,Urgent,Medium
Can someone explain why login loop. Plz help.,Authentication & Access,Frustrated,High
"After the latest update, I noticed that signin blank screen. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Thanks.",Authentication & Access,Frustrated,High
"cnt... OTP never arrives, plz fix. This is affecting my studies.",Authentication & Access,Confused,High
password reset broken,Authentication & Access,Confused,Medium
This is unacceptable. auth timeout. Really disappointed.,Authentication & Access,Confused,Critical
"This is unacceptable. I noticed that signin blank screen. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Waiting for a response.",Authentication & Access,Neutral,High
"pasword... OTP never arrives, plz fix. Kindly investigate.",Authentication & Access,Urgent,Critical
account locked,Authentication & Access,Neutral,Critical
I'm confused because signin blank screen. Really disappointed.,Authentication & Access,Neutral,High
" I noticed that password reset broken. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Plz help.",Authentication & Access,Frustrated,High
"vid... password reset broken, plz fix. Kindly investigate.",Authentication & Access,Frustrated,Medium
auth timeout,Authentication & Access,Angry,High
"Hi team, SSO failing. Plz help.",Authentication & Access,Neutral,Medium
"This is unacceptable. I noticed that login loop. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Need this fixed ASAP.",Authentication & Access,Neutral,Medium
"idk... can't log in, plz fix. Need this fixed ASAP.",Authentication & Access,Angry,Medium
account locked,Authentication & Access,Neutral,Critical
This is unacceptable. account locked. Plz help.,Authentication & Access,Confused,High
"Please help, I noticed that account locked. I tried clearing cache, switching devices, and signing out, but the problem keeps happening. Kindly investigate.",Authentication & Access,Frustrated,Medium
"idk... SSO failing, plz fix. Plz help.",Authentication & Access,Urgent,High
credentials denied,Authentication & Access,Urgent,Medium
Urgent: SSO failing. This is affecting my studies.,Authentication & Access,Confused,Medium
